Title,Score,Directors,Actors,url
伪装者,8.4,李雪,胡歌 / 靳东 / 刘敏涛 / 王凯 / 宋轶,https://movie.douban.com/subject/25994712/
平凡的世界,8.4,毛卫宁,佟丽娅 / 袁弘 / 王雷 / 李小萌 / 刘威,https://movie.douban.com/subject/25851665/
虎啸龙吟,8.4,张永新,吴秀波 / 刘涛 / 李晨 / 张钧甯 / 唐艺昕,https://movie.douban.com/subject/27087788/
来不及说我爱你,8.4,曾丽珍,钟汉良 / 李小冉 / 谭凯 / 齐芳 / 孙玮,https://movie.douban.com/subject/4135704/
最美的青春,8.4,巨兴茂,刘智扬 / 何雨虹 / 赵恒煊 / 贾宏伟 / 张子文,https://movie.douban.com/subject/27126973/
手机,8.4,沈严 / 王雷,王志文 / 陈道明 / 梅婷 / 刘蓓 / 范明,https://movie.douban.com/subject/4111333/
少林问道,8.4,傅东育,周一围 / 郭京飞 / 郭晓婷 / 是安 / 何赛飞,https://movie.douban.com/subject/26297251/
海棠依旧,8.4,陈力,孙维民 / 唐国强 / 黄薇 / 卢奇 / 王伍福,https://movie.douban.com/subject/25835485/
风车,8.4,孔笙 / 张永新,李晨 / 杨立新 / 霍思燕 / 宋佳 / 韩童生,https://movie.douban.com/subject/4934994/
活着再见,8.4,姜凯阳,张陆 / 骆达华 / 赵达 / 曲高位 / 赵龙豪,https://movie.douban.com/subject/26607296/
女生日记之做决定事务所,8.4,陈宇 / 林菁菁,陆妍淇 / 高瀚宇 / 张倩铭 / 王晓莎莎,https://movie.douban.com/subject/26437176/
叶落长安,8.4,姚晓峰,陈小艺 / 倪大红 / 刘涛 / 毛晓彤 / 赵峥,https://movie.douban.com/subject/6829658/
南侨机工英雄传,8.4,于荣光,于荣光 / 秋瓷炫 / 朱晓渔 / 于晓光,https://movie.douban.com/subject/25980223/
彼岸1945,8.4,梦继,周渝民 / 张钧甯 / 王学圻 / 阎娜 / 张晨光,https://movie.douban.com/subject/6053337/
你是我的幸福,8.4,姜凯阳,李建义 / 刘佳 / 王刚 / 黄轩 / 颜世魁,https://movie.douban.com/subject/6793343/
纯真的年代,8.4,汪锡宏,李亚鹏 / 应采儿 / 高虎,https://movie.douban.com/subject/4238928/
天盛长歌,8.3,沈严 / 刘海波,陈坤 / 倪妮 / 赵立新 / 倪大红 / 袁弘,https://movie.douban.com/subject/26761328/
忽而今夏,8.3,吕赢,白宇 / 卜冠今 / 吕鹏 / 张书维 / 杨玥,https://movie.douban.com/subject/27041389/
正阳门下,8.3,刘家成,朱亚文 / 倪大红 / 边潇潇 / 李光复 / 杨立新,https://movie.douban.com/subject/11632590/
无心法师,8.3,林玉芬 / 高林豹,韩东君 / 金晨 / 陈瑶 / 张若昀 / 孔连顺,https://movie.douban.com/subject/26298756/
灵魂摆渡,8.3,巨兴茂,于毅 / 肖茵 / 刘智扬 / 梁椰雯 / 王靖云,https://movie.douban.com/subject/25800263/
毛骗 第一季,8.3,李洪绸,安宁 / 赵宁 / 杨羽 / 黎伟 / 邢冬冬,https://movie.douban.com/subject/4888230/
约会专家,8.3,澄丰 / 朱锐斌,朱雨辰 / 郭京飞 / 齐溪 / 钱芳 / 严屹宽,https://movie.douban.com/subject/25661522/
四十九日·祭,8.3,张黎,张嘉译 / 宋佳 / 胡歌 / 张歆怡 / 黄志忠,https://movie.douban.com/subject/20388190/
镖门,8.3,韩晓军,霍建华 / 贾青 / 李健 / 王庆祥 / 倪大红,https://movie.douban.com/subject/25752412/
麻辣隔壁·叁,8.3,汪小壹 / 杨羽 / 邢冬冬 / 耿晓辉,杨羽 / 邢冬冬 / 邵庄 / 安宁,https://movie.douban.com/subject/25892766/
