排名,电视剧名称,年份,评分,评价人数,导演,编剧,主演,类型,集数,单集片长,豆瓣网址
317,再过把瘾,2011,7.5,380,叶京, 霍昕,黄勐 / 秦海璐 / 吴超 / 杨紫嫣 / 胡靖钒, 剧情 / 爱情,38,,https://movie.douban.com/subject/3654929/
318,老爸的筒子楼,2011,7.5,276,顾晶, 刘增新,许亚军 / 刘威葳 / 李崇霄 / 李佳璇 / 杨青, 剧情 / 喜剧 / 家庭 / 历史,35,45,https://movie.douban.com/subject/6863949/
320,马兰谣,2016,7.5,119,晨钟, 刘婧 / 艾米,田征 / 赵倩, 剧情,26,,https://movie.douban.com/subject/26848493/
321,国产大英雄 第二季,2016,7.5,1179,林珍钊, 林珍钊 / 海心 / 陈永胜 / 冷偏佳,林珍钊 / 黄凯伦 / 黄璐璐 / 吴菲 / 周建华, 喜剧,10,15,https://movie.douban.com/subject/26912437/
322,郭小宝和周老财,2013,7.5,785,尚敬, 茅捷,范伟 / 毛孩, 剧情 / 喜剧,46,,https://movie.douban.com/subject/23788450/
323,杨光的夏天,2012,7.5,133,许瑞生 / 杨议, 韩兆 / 李延亮 / 王钦 / 李振宇,杨议 / 韩兆 / 杨少华 / 马丽, 剧情 / 喜剧 / 爱情 / 家庭,35,,https://movie.douban.com/subject/16535386/
324,乙方甲方 第二季,2014,7.5,124,王伟, 王伟 / 宋永恒,宋永恒 / 张芯宁 / 韩烨洲 / 王程程, 喜剧,10,10,https://movie.douban.com/subject/25846011/
325,新警事,2010,7.4,91,李诚儒 / 李　伟 / 杨新宇, 漠　希,李诚儒 / 杨子骅 / 杨平友 / 韩青,,30,,https://movie.douban.com/subject/4328440/
326,江湖绝恋,2010,7.5,57,林建中, 朱厉,朱雨辰 / 邹俊百 / 杜志国 / 施羽 / 于滨, 剧情 / 爱情,34,45,https://movie.douban.com/subject/4910182/
327,搭讪大师,2014,7.5,53,何泰然 / 麒麟博士, 麒麟博士 / 金婷,施诗 / 王仁君, 爱情,12,15,https://movie.douban.com/subject/25986695/
328,伤不起的青春,2012,7.5,53,赵启强, 赵启强,靳东 / 宋雨霏 / 高斯 / 纪宁 / 王诗槐, 剧情 / 爱情,20,45,https://movie.douban.com/subject/26657485/
329,如懿传,2018,7.4,140445,汪俊, 流潋紫,周迅 / 霍建华 / 张钧甯 / 李纯 / 辛芷蕾, 剧情 / 历史 / 古装,87,45,https://movie.douban.com/subject/25812730/
330,悍城,2018,7.4,6292,刘殊巧, 杨宏伟 / 刘成龙,李光洁 / 袁文康 / 姜_瑶 / 李成敏 / 刘德凯, 剧情 / 动作 / 悬疑,24,40,https://movie.douban.com/subject/27160612/
331,龙门镖局,2013,7.4,53224,王勇, 宁财神,郭京飞 / 袁咏仪 / 李倩 / 张瑞涵 / 钱芳, 喜剧 / 古装,40,45,https://movie.douban.com/subject/11627047/
332,外科风云,2017,7.4,50328,李雪, 朱朱,靳东 / 白百何 / 李佳航 / 马少骅 / 蓝盈莹, 剧情 / 爱情,44,45,https://movie.douban.com/subject/26683725/
333,颤抖吧，阿部！,2017,7.4,18331,赵小溪 / 赵小鸥, 饶俊 / 刘娅 / 诸懿 / 洪靖惠,郑业成 / 安悦溪 / 赵东泽 / 王燕阳 / 吴昊, 喜剧 / 科幻 / 古装,25,35,https://movie.douban.com/subject/26895367/
334,远大前程·双龙会,2018,7.4,8898,陈熙泰, 陈雪 / 周航 / 郑东影,刘昊然 / 尚语贤 / 陈昊 / 白红标 / 李光复, 剧情 / 动作 / 犯罪,6,20,https://movie.douban.com/subject/30203343/
335,长大,2015,7.4,10236,林妍, 张巍 / 朱朱,白百何 / 陆毅 / 江疏影 / 赵子琪 / 张子萱, 剧情 / 爱情,38,,https://movie.douban.com/subject/25777370/
336,睡在我上铺的兄弟,2016,7.4,10563,张琦, 史倩 / 陈倩 / 周葵 / 苏阳,陈晓 / 杜天皓 / 刘芮麟 / 李现 / 吴优, 喜剧 / 爱情,26,24,https://movie.douban.com/subject/26428938/
337,爱情的边疆,2018,7.4,2277,毛卫宁, 高满堂 / 李洲,殷桃 / 王雷 / 李乃文 / 丁嘉丽 / 徐嘉雯, 剧情 / 爱情,54,45,https://movie.douban.com/subject/26873807/
338,隋唐演义,2013,7.4,5786,钟少雄 / 王飞, 杨晓慧 / 袁帅 / 邓薇 / 王兰华,严屹宽 / 富大龙 / 张翰 / 姜武 / 杜淳, 剧情 / 历史 / 古装,62,46,https://movie.douban.com/subject/7062604/
339,来到你的世界,2018,7.4,2409,王奕丁, 南镇 / 谢彭 / 张临之 / 咸熙雯 / 李志敏,林柏宏 / 李浩菲 / 黄俊捷 / 黄一琳 / 张津铭, 喜剧 / 爱情 / 奇幻,23,40,https://movie.douban.com/subject/27073847/
340,识汝不识丁,2016,7.4,6092,陈鹏, 毕延伟 / 李星瑶,晏紫东 / 蒋梓乐 / 卢卓 / 刘亦宸 / 李天柱, 悬疑 / 古装,12,30,https://movie.douban.com/subject/26797632/
341,亲爱的活祖宗,2018,7.4,3371,毛小睿, 韦子蔚 / 张夜来,陈哲远 / 董晴 / 戴向宇 / 王汀 / 李彩桦, 喜剧 / 爱情 / 奇幻,24,45,https://movie.douban.com/subject/27197296/
342,租个女友回家过年,2010,7.4,3063,王中伟, 方真,杜淳 / 薛佳凝 / 原梓霏 / 袁文康, 喜剧 / 爱情,24,45,https://movie.douban.com/subject/4291269/
343,红色摇篮,2010,7.4,217,金韬, 邵钧林,王_ / 刘劲 / 王伍福 / 黄俊鹏 / 张晶晶, 剧情 / 历史 / 战争,29,45,https://movie.douban.com/subject/4262202/
344,团圆饭,2014,7.4,2453,徐纪周, 王力扶,李光洁 / 李健 / 代旭 / 傅晶 / 马苏, 剧情 / 家庭,45,40,https://movie.douban.com/subject/20444537/
345,我的二哥二嫂,2015,7.4,1855,刘家成, 郭中束,于震 / 郝蕾 / 于洋 / 邓钢 / 邹涵虹, 剧情 / 爱情,40,,https://movie.douban.com/subject/25841976/
346,风和日丽,2011,7.4,2631,杨文军, 林和平 / 泳群,李晨 / 马伊_ / 刘芸 / 尤勇 / 陶慧敏, 剧情,35,42,https://movie.douban.com/subject/6521855/
347,蚁族的奋斗,2011,7.4,1606,戴冰, 吴牧耘,杨烁 / 张铎 / 刘天佐 / 张佳宁 / 王黎雯, 剧情 / 爱情,33,45,https://movie.douban.com/subject/6815120/
348,神犬奇兵,2014,7.4,1523,谷锦云, 冯骥,杨烁 / 王冠 / 王建福 / 冯恩鹤 / 刘潺, 剧情,38,,https://movie.douban.com/subject/25661528/
349,欢天喜地俏冤家,2014,7.4,1523,刘逢声, 朱朱,李易峰 / 颖儿 / 徐冬冬 / 叶祖新 / 吴千语, 剧情 / 喜剧 / 爱情 / 古装,30,45,https://movie.douban.com/subject/20444534/
350,幸福请你等等我,2014,7.4,1115,余淳, 朱艳,宋丹丹 / 朱泳腾 / 朱媛媛 / 李乃文 / 王策, 剧情 / 家庭,36,,https://movie.douban.com/subject/25865480/
351,爸爸父亲爹,2015,7.4,671,于敏, 魏人,罗晋 / 罗嘉良 / 张_临 / 吕一 / 赵立新, 剧情 / 战争,36,,https://movie.douban.com/subject/25789360/
352,若是如此,2016,7.4,567,殷博,,张小斐 / 衣云鹤, 喜剧,12,,https://movie.douban.com/subject/26842700/
353,卜案,2012,7.4,380,王奕开, 王奕开,任天野 / 赵柯 / 张世 / 贺刚, 剧情 / 悬疑 / 古装,26,,https://movie.douban.com/subject/6900129/
354,母亲，母亲,2012,7.4,1413,李云亮, 赵冬苓,袁立 / 斯琴高娃 / 胡亚捷 / 黄曼 / 蒋林珊, 爱情 / 家庭,36,45,https://movie.douban.com/subject/10538002/
355,大河儿女,2014,7.4,411,安建, 高满堂 / 王少华,陈宝国 / 赵奎娥 / 王同辉 / 印小天 / 赵君, 剧情,45,,https://movie.douban.com/subject/10573480/
356,代号,2015,7.4,265,郑大圣, 海飞 / 龙一,乔任梁 / 张恒 / 祖锋 / 焦刚 / 吕星辰, 剧情 / 悬疑,37,,https://movie.douban.com/subject/26206770/
357,革命人永远是年轻,2011,7.4,160,陈健,,聂远 / 陶飞霏 / 沈晓海 / 李艳冰 / 赵亮,,40,,https://movie.douban.com/subject/5332605/
358,那样芬芳,2012,7.4,1498,安建, 顾伟丽,宋佳 / 郭京飞 / 耿乐 / 冯雷 / 黄梅莹, 剧情 / 爱情,34,45,https://movie.douban.com/subject/10455644/
359,老米家的婚事,2013,7.4,883,赵晨阳, 崔洁,宋丹丹 / 周冬齐 / 张洪杰 / 傅晶 / 姜妍, 剧情 / 爱情 / 家庭,32,,https://movie.douban.com/subject/10833920/
360,智者无敌,2011,7.4,745,简川_, 石小克,陈宝国 / 田中千绘 / 黄曼 / 斯琴高娃 / 丁志城, 剧情 / 战争,30,,https://movie.douban.com/subject/4858787/
361,小明和他的小伙伴们 第一季,2015,7.4,539,李志廷, 李志廷,魏子煜, 喜剧 / 儿童,8,8,https://movie.douban.com/subject/26303820/
362,九河入海,2012,7.4,151,马征, 贾晓晨 / 王昱哲 / 段彬彬,赵立新 / 陶红 / 王奎荣 / 熊乃瑾 / 茅子俊, 剧情 / 历史,43,40,https://movie.douban.com/subject/6733298/
363,穿越谜团,2016,7.4,521,沈严 / 刘海波, 邱永懿 / 王红卫 / 龚燕 / 吴竹筠,张歆艺 / 袁弘 / 江珊 / 孙淳 / 高鑫, 剧情 / 悬疑,36,45,https://movie.douban.com/subject/26219218/
364,狼烟遍地,2013,7.4,445,李云亮, 王鹏,靳东 / 黄曼 / 周一围 / 郭明翔 / 杨婷婷, 剧情 / 战争,36,,https://movie.douban.com/subject/21348963/
365,生死桥,2010,7.4,336,田沁鑫, 李碧华,贾乃亮 / 王子文 / 王泊文 / 万茜 / 徐梵溪, 剧情 / 爱情,32,,https://movie.douban.com/subject/3074721/
366,_头_脑,2016,7.4,263,付_, 李海兵,宋晓峰 / 霍云龙 / 唐艺兮 / 程野 / 唐娜, 喜剧,12,27,https://movie.douban.com/subject/26870185/
367,不，相信星座,2015,7.4,171,"Mr.Ferret,阑君", 8.西瓜，阑君，Mr.Ferret,王炜程 / 颜悦 / 阑君 / 沈妙金, 喜剧 / 爱情 / 科幻,5,10,https://movie.douban.com/subject/26682217/
368,经纬天地,2010,7.4,124,黄健中, 周志方,贾一平 / 马伊_ / 张光北 / 周扬 / 苏廷石, 剧情 / 爱情,49,,https://movie.douban.com/subject/5031965/
369,开心麻花剧场 第二季,2013,7.4,110,尚高,,常远 / 韩云云 / 陶亮, 喜剧,14,16,https://movie.douban.com/subject/24530696/
370,老爸驾到,2011,7.4,82,张孝正, 舒心,凌潇肃 / 曾之乔, 剧情 / 爱情 / 家庭,30,45,https://movie.douban.com/subject/6534072/
371,大南迁,2014,7.4,79,阎清秀, 赵爱斌,邹兆龙 / 俞飞鸿 / 梁家仁 / 汤镇业 / 贺刚, 剧情 / 历史 / 古装,32,,https://movie.douban.com/subject/21957615/
372,中年计划,2012,7.4,55,陈武建,,张丰毅 / 江珊 / 陶慧敏 / 周晶晶 / 赵雪莲,,22,79,https://movie.douban.com/subject/2067514/
374,兄弟车行,2013,7.4,42,付宁, 袁大举,王斑 / 房子斌 / 李佳_ / 柳小海 / 刘冰_, 剧情,25,45,https://movie.douban.com/subject/4928711/
375,欢乐颂,2016,7.3,121339,孔笙 / 简川_, 袁子弹 / 阿耐,刘涛 / 蒋欣 / 王子文 / 杨紫 / 乔欣, 剧情 / 爱情,42,43,https://movie.douban.com/subject/26430092/
376,致我们单纯的小美好,2017,7.3,64500,唐彬 / 杨龙, 吴桐 / 赵乾乾 / 吴雪莹 / 段余乐 / 鱼枯 / 周楚岑 / 王妍蓓,胡一天 / 沈月 / 高至霆 / 王梓薇 / 孙宁, 剧情 / 爱情,23,45,https://movie.douban.com/subject/27008416/
377,为了你我愿意热爱整个世界,2018,7.3,22886,余翠华 / 郭虎, 墨宝非宝 / 唐家三少,罗晋 / 郑爽 / 张艺上 / 庞瀚辰 / 王宫良, 剧情 / 爱情,48,40,https://movie.douban.com/subject/26974046/
378,杉杉来了,2014,7.3,27876,刘俊杰, 金国栋 / 顾漫 / 好故事工作坊,张翰 / 赵丽颖 / 百克力 / 石安妮 / 王汀, 剧情 / 爱情,33,40,https://movie.douban.com/subject/25823274/
379,如果蜗牛有爱情,2016,7.3,48350,张开宙, 丁墨 / 朱朱,王凯 / 王子文 / 徐悦 / 于恒 / 赵圆瑗, 剧情 / 爱情 / 悬疑,21,34,https://movie.douban.com/subject/26345137/
380,一仆二主,2014,7.3,15342,刘进, 陈彤,张嘉译 / 闫妮 / 江疏影 / 尤勇 / 姬他, 剧情 / 爱情,43,,https://movie.douban.com/subject/25188219/
381,_丝男士 第二季,2013,7.3,19981,董成鹏 Chengpeng Dong, 董成鹏  Chengpeng Dong,大鹏 / 汤唯 / 吴秀波 / 温兆伦 / 杨幂, 喜剧,6,16,https://movie.douban.com/subject/20470058/
382,男人帮,2011,7.3,30899,赵宝刚, 唐浚,孙红雷 / 黄磊 / 汪俊 / 王珞丹 / 姚笛, 剧情 / 爱情,30,45,https://movie.douban.com/subject/5395263/
383,执念师 第一季,2015,7.3,2824,周琳皓, 张鸢盎 / 汤祈岑,经超 / 艾晓琪 / 梁大维 / 禹童 / 章_, 科幻,20,35,https://movie.douban.com/subject/26322805/
384,我爱男闺蜜,2014,7.3,11387,汪俊, 李潇 / 于淼,黄磊 / 陈数 / 汪俊 / 陈炜 / 王晓晨, 剧情 / 喜剧 / 爱情 / 家庭,34,,https://movie.douban.com/subject/25728507/
385,与狼共舞,2012,7.3,1761,黄文利, 周萌 / 王莹菲,傅程鹏 / 程愫 / 侯梦莎 / 夏侯镔 / 于和伟, 剧情,36,45,https://movie.douban.com/subject/19966076/
386,于无声处,2015,7.3,3082,阎建钢, 高满堂 / 徐健博,胡军 / 左小青 / 赵立新 / 高明 / 刘威, 剧情 / 悬疑,34,,https://movie.douban.com/subject/25889555/
387,搭错车,2015,7.3,2063,罗灿然, 张启敏 / 崔洁 / 郭澄骏,马少骅 / 关晓彤 / 牛骏峰 / 张建新 / 李崇霄, 剧情 / 家庭,40,45,https://movie.douban.com/subject/26169436/
388,人民检察官,2016,7.3,1049,英宁, 英宁,殷桃 / 于震 / 于荣光 / 郭凯敏 / 巫迪文, 剧情 / 犯罪,33,,https://movie.douban.com/subject/26637871/
389,废柴兄弟,2014,7.3,2336,姬智, 尹琪 / 东东枪,王宁 / 修睿 / 魏梦 / 李乐儿 / 杨东麒, 喜剧,20,15,https://movie.douban.com/subject/25853642/
390,娘要嫁人,2013,7.3,2772,乔梁, 严歌苓,蒋雯丽 / 张鲁一 / 于荣光 / 李立群 / 吕中, 剧情 / 爱情 / 家庭,46,,https://movie.douban.com/subject/10549276/
391,我是你的咩咩phone,2016,7.3,1824,朴贤真,,杨洋 / 郑合惠子, 剧情 / 爱情 / 科幻,2,15,https://movie.douban.com/subject/26834003/
392,上海，上海,2010,7.3,1249,毛卫宁, 邓海南,段奕宏 / 吴秀波 / 左小青 / 赵峥 / 王媛可, 剧情 / 爱情,36,45,https://movie.douban.com/subject/3920718/
393,春江英雄之秀才遇到兵,2015,7.3,1471,徐纪周, 徐纪周 / 赵小曦,李晨 / 李倩 / 沙溢 / 马苏 / 刘彦卿, 剧情 / 战争,42,,https://movie.douban.com/subject/25897298/
394,我女朋友的男朋友2,2017,7.4,1548,邓科,,白澍 / 蔡文静 / 李川 / 梁洁 / 于蓓蓓, 喜剧 / 爱情 / 奇幻,15,30,https://movie.douban.com/subject/27103771/
395,谜砂,2016,7.3,1517,林楠, 邓原,李宗翰 / 赵子琪 / 李乃文 / 张正阳 / 叶璇, 悬疑 / 犯罪,44,45,https://movie.douban.com/subject/26596216/
397,爱情上上签,2015,7.3,217,余凌松, 曹小林,邓伦 / 孙怡 / 戴燕妮 / 姜超 / 李佳航, 剧情,30,45,https://movie.douban.com/subject/26630477/
398,台湾往事,2018,7.3,1501,崔亮, 周晨 / 周道 / 袁源,左小青 / 刘以豪 / 简_书 / 张书豪 / 程予希, 剧情 / 历史 / 战争,52,45,https://movie.douban.com/subject/27053244/
399,零下三十八度,2013,7.3,790,姜凯阳, 姜凯阳 / 习兮 / 周英程 / 卢健,于和伟 / 王丽坤 / 葛四 / 李建义 / 王志刚, 剧情 / 悬疑,40,40,https://movie.douban.com/subject/25709647/
400,神秘人质,2013,7.3,484,邵警辉, 赵小赵,刘小锋 / 黄曼 / 周牧茵 / 宁晓志 / 程煜, 剧情,41,40,https://movie.douban.com/subject/11632723/
401,食来孕转,2013,7.3,369,张晓波, 张英姬 / 吴波,刘涛 / 王千源 / 于小伟 / 张一山 / 隋兰, 喜剧 / 家庭,33,,https://movie.douban.com/subject/24737156/
402,大风歌,2010,7.3,303,黄健中, 李硕儒 / 张伟佳,吕良伟 / 王姬 / 张光北 / 刘牧 / 王庆祥, 剧情 / 古装,44,45,https://movie.douban.com/subject/7058611/
403,单恋大作战,2018,7.3,2723,沈沁源, 朴未央 / 赵明畅 / 海心 / 李佳璇 / 尤米,孔垂楠 / 刘美含 / 李鹤 / 刘锐 / 付曼, 喜剧 / 爱情,34,35,https://movie.douban.com/subject/26984529/
404,第五空间,2010,7.3,871,张蠡, 徐速 / 王潇涵,蒲巴甲 / 郑罗茜 / 王强 / 贺刚 / 万思维, 剧情 / 爱情 / 科幻 / 战争,34,42,https://movie.douban.com/subject/5403982/
405,我和老妈一起嫁,2011,7.3,517,余丁, 李炜,殷桃 / 彭玉, 喜剧 / 爱情,28,45,https://movie.douban.com/subject/6808712/
406,天敌,2010,7.3,282,徐纪周, 徐纪周,王雷 / 王雅捷 / 陶飞霏 / 敬虔（瑛子）, 动作 / 悬疑,24,,https://movie.douban.com/subject/4858778/
407,生死血符,2015,7.3,169,管虎, 赵冬苓,陈瑾 / 陶泽如 / 殷桃 / 郭晓东, 剧情 / 战争,38,,https://movie.douban.com/subject/25758891/
408,钟点工们,2011,7.3,53,老韵, 陈小妹,李勤勤 / 刘莉莉 / 牛飘 / 刘交心, 剧情,25,45,https://movie.douban.com/subject/6531243/
409,继承者计划,2018,7.3,1775,刘闯, 刘闯,王彦霖 / 李欣燃 / 杨皓宇 / 郑家彬 / 张国柱, 喜剧 / 悬疑,24,30,https://movie.douban.com/subject/26979216/
410,评价女王,2016,7.3,965,赵秀沅, 申宥谭,权俞利 / 金英光 / 李知勋 / 李钟硕 / 金智勋, 剧情 / 喜剧 / 爱情,20,20,https://movie.douban.com/subject/26809098/
411,昙花梦,2015,7.3,658,曾晓欣, 陈娟 / 杨骏,乔振宇 / 安以轩 / 郭晓婷 / 巫刚 / 田宇鹏, 剧情 / 悬疑,43,,https://movie.douban.com/subject/25980264/
412,老子传奇,2016,7.3,154,陈卫国, 王学新,罗翔 / 郭子溪 / 梅年佳 / 张倩铭 / 许还山, 剧情,30,,https://movie.douban.com/subject/25785214/
413,红蝎子之带泪梨花,2011,7.3,60,王联平,,郝柏杰, 犯罪,34,,https://movie.douban.com/subject/6982573/
414,浴火危城,2012,7.3,38,邓迎海,,温兆伦 / 金丰 / 王大奇, 剧情 / 灾难,32,,https://movie.douban.com/subject/19967796/
415,爱要有你才完美,2011,7.3,936,杨玄, 裘荣康 / 秦雯 / 周娟,霍思燕 / 朱雨辰 / 谭俊彦 / 张璇 / 边原, 剧情 / 爱情,26,45,https://movie.douban.com/subject/4054629/
416,我的美丽人生,2010,7.3,721,汪俊, 王丽萍,黄海波 / 马苏 / 李明启 / 李坤霖 / 舒耀_, 剧情 / 爱情 / 家庭,28,45,https://movie.douban.com/subject/4942670/
417,快乐的小2B,2010,7.3,377,黎伟 / 杨羽 / 邢冬冬 / 李洪绸, 于哲 / 黎伟 / 杨羽 / 邢冬冬 / 李洪绸,邢冬冬, 喜剧 / 短片,25,,https://movie.douban.com/subject/5250330/
418,成长,2012,7.3,174,梦继, 王海_,郭晓东 / 张萌 / 宋春丽 / 尤勇 / 李倩, 剧情,30,,https://movie.douban.com/subject/11531293/
420,超级小郎中2,2018,7.3,176,杨小波, 杨小波,朱元冰 / 邢菲 / 杨霖 / 商侃 / 杜子名, 剧情,20,30,https://movie.douban.com/subject/30142598/
421,大浴堂,2010,7.3,89,王文盛, 王三毛 / 由甲,贾一平 / 胡可 / 王伟 / 陶泽如 / 奚美娟, 剧情 / 爱情,34,,https://movie.douban.com/subject/5318673/
422,望海的女人,2014,7.3,57,汪群雅, 李汉臣,陈冠霖 / 吕夏, 剧情 / 历史,36,,https://movie.douban.com/subject/20399029/
423,无影灯下,2011,7.3,54,张建栋, 张建栋,王学兵 / 于小伟 / 王志文 / 徐百卉 / 彭心宜, 剧情 / 爱情,37,,https://movie.douban.com/subject/7053698/
424,延禧攻略,2018,7.2,207089,惠楷栋 / 温德光, 周末,秦岚 / 聂远 / 佘诗曼 / 吴谨言 / 许凯, 剧情 / 爱情 / 古装,70,45,https://movie.douban.com/subject/26999852/
425,那年花开月正圆,2017,7.2,65105,丁黑, 苏晓苑,孙俪 / 陈晓 / 何润东 / 任重 / 胡杏儿, 剧情 / 古装,74,45,https://movie.douban.com/subject/26801052/
426,结爱·千岁大人的初恋,2018,7.2,48409,陈正道 / 许肇任, 沈洋 / 李子_ / 卢青雨 / 韩小歌 / 施定柔,宋茜 / 黄景瑜 / 徐开骋 / 李_ / 江奇霖, 爱情 / 奇幻,25,45,https://movie.douban.com/subject/27107131/
427,爱情公寓4,2014,7.2,58999,韦正, 汪远,娄艺潇 / 陈赫 / 李金铭 / 孙艺洲 / 李佳航, 喜剧 / 爱情,24,45,https://movie.douban.com/subject/10793510/
428,媚者无疆,2018,7.2,29916,易军, 缪文静 / 丁娅 / 舒广金,李一桐 / 屈楚萧 / 汪铎 / 李子峰 / 郭雪芙, 剧情 / 爱情 / 奇幻,36,42,https://movie.douban.com/subject/27089387/
429,爱情公寓3,2012,7.2,64765,韦正, 汪远,娄艺潇 / 陈赫 / 邓家佳 / 王传君 / 李金铭, 剧情 / 喜剧 / 爱情,24,45,https://movie.douban.com/subject/6312211/
430,太子妃升职记,2015,7.2,81080,侣皓吉吉, 秦爽 / 尚梦璐,张天爱 / 盛一伦 / 于朦胧 / 江奇霖 / 郭俊辰, 喜剧 / 爱情 / 古装,36,30,https://movie.douban.com/subject/26657015/
431,离婚律师,2014,7.2,26776,杨文军, 陈彤,姚晨 / 吴秀波 / 方中信 / 张萌 / 韩雨芹, 剧情 / 爱情,45,45,https://movie.douban.com/subject/25711530/
432,可惜不是你,2017,7.2,3312,英英鹿, 叶紫 / 杨若轩 / 李潇 / 英英鹿,范世琦 / 宋妍霏 / 肖顺尧 / 余昊洋 / 文苡帆, 爱情,24,40,https://movie.douban.com/subject/27026077/
433,火线三兄弟,2013,7.2,4867,管虎, 刘海 / 于淼 / 周英程,张涵予 / 刘烨 / 黄渤 / 孙宁 / 黄小蕾, 剧情,40,45,https://movie.douban.com/subject/19965685/
434,浮沉,2012,7.2,11763,滕华涛, 鲍鲸鲸 / 崔曼莉,张嘉译 / 王志飞 / 白百何 / 王耀庆 / 矢野浩二, 剧情 / 爱情,30,43,https://movie.douban.com/subject/6801448/
435,生活启示录,2014,7.2,9171,夏晓昀, 王丽萍,闫妮 / 胡歌 / 果靖霖 / 刘敏 / 杨昆, 剧情 / 爱情,35,45,https://movie.douban.com/subject/25741644/
436,中国式关系,2016,7.2,10794,沈严 / 刘海波, 张蕾,陈建斌 / 马伊_ / 胡可 / 赵立新 / 代旭, 剧情 / 家庭,36,45,https://movie.douban.com/subject/26640851/
437,我的青春遇见你,2018,7.2,7210,李木戈, 崔冉 / 于帆,魏千翔 / 姜妍 / 张小磊 / 姚安濂 / 杨壹童, 剧情 / 爱情 / 家庭,55,45,https://movie.douban.com/subject/27124505/
438,新闺蜜时代,2014,7.2,7342,潘镜丞, 某小丫,张歆艺 / 童瑶 / 蒋欣 / 朱宏嘉 / 戚迹, 剧情,40,,https://movie.douban.com/subject/25662618/
439,拜见宫主大人,2017,7.2,7029,任海涛 / 郭会中, 田川 / 霍文达,关智斌 / 孙雪宁 / 许镇耀 / 李诺 / 卢卓, 喜剧 / 奇幻 / 古装,20,40,https://movie.douban.com/subject/27003249/
440,金牌投资人,2018,7.2,3705,彭学军, 江泽宏,张俪 / 杨旭文 / 陈龙 / 梁田 / 袁成杰, 剧情,40,45,https://movie.douban.com/subject/27115272/
441,刀客家族的女人,2013,7.2,2969,杨文军, 张晓亚,佟丽娅 / 许还幻 / 高露 / 毛晓彤 / 杨烁, 剧情 / 爱情,44,40,https://movie.douban.com/subject/19962576/
442,执念师 第二季,2016,7.2,1119,邹曦, 白一骢 / 张鸢盎 / 汤祈岑,禹童 / 艾晓琪 / 梁大维 / 肖顺尧 / 王修泽, 科幻 / 悬疑,40,35,https://movie.douban.com/subject/26716996/
443,养父的花样年华,2014,7.2,644,何群,,邢佳栋 / 程_ / 张琛 / 李龙君 / 铁伟光, 剧情 / 家庭,28,,https://movie.douban.com/subject/25869937/
444,淑女之家,2014,7.2,1458,林清振, 郭廷波 / 秦飞 / 菲男 / 马雨默,韩雪 / 刘恩佑 / 马天宇 / 陈翔 / 毛晓彤, 剧情 / 爱情 / 悬疑 / 家庭 / 犯罪,30,41,https://movie.douban.com/subject/24840626/
445,坐88路车回家,2014,7.2,395,李路, 薛志华,张博 / 刘威葳 / 张凯丽 / 陈国坤 / 高亚麟, 剧情 / 家庭,41,,https://movie.douban.com/subject/25947413/
446,张小五的春天,2010,7.2,2366,周小刚, 宋毓建,闫妮 / 立威廉 / 王大治 / 刘佳 / 陶珞依, 剧情,25,40,https://movie.douban.com/subject/4781104/
447,包青天之开封奇案,2012,7.2,621,何中华, 金超群,金超群 / 范鸿轩 / 何家劲 / 王莎莎, 古装,40,45,https://movie.douban.com/subject/11639160/
448,女人的天空,2016,7.2,1238,张新建, 革非 / 李冰俏 / 张霁虹,蒋欣 / 王凯 / 程皓枫 / 黄晓娟 / 李超, 剧情,30,45,https://movie.douban.com/subject/26745186/
449,_女翻身之嗨如花,2017,7.2,729,蔡聪, 紫鱼儿,祝绪丹 / 赖艺 / 徐申东 / 侯俊丞 / 宋奕星, 喜剧 / 爱情,35,45,https://movie.douban.com/subject/26799432/
450,会痛的17岁,2015,7.2,457,江金霖, 饶雪漫,温心 / 周游 / 李煜 / 王艺哲 / 卢蒽洁, 剧情,24,26,https://movie.douban.com/subject/26647194/
451,你是我的生命,2010,7.2,369,李文龙,,萨日娜 / 李诚儒 / 贾乃亮,,40,,https://movie.douban.com/subject/4824954/
452,一一向前冲,2010,7.2,2373,王加宾, 王芸 / 赵梦,霍建华 / 童蕾 / 王晶 / 郑佩佩 / 郑恺, 剧情 / 爱情,27,45,https://movie.douban.com/subject/5279645/
453,永远恋爱真美,2016,7.2,485,安建,,雷佳音 / 袁姗姗 / 张峻宁 / 张雯 / 翁虹, 剧情 / 爱情,36,45,https://movie.douban.com/subject/25919379/
454,像火花像蝴蝶,2013,7.2,1792,李慧珠, 李顺慈,江一燕 / 胡军 / 苑新雨 / 霍政谚 / 郑国霖, 剧情 / 爱情,35,45,https://movie.douban.com/subject/10748051/
455,错放你的手,2014,7.2,157,曹保平, 孙博 / 曾晓文,罗晋 / 童蕾 / 聂鑫, 剧情,30,,https://movie.douban.com/subject/25815633/
456,肌缘巧合,2012,7.2,118,松子,,刘诗诗, 剧情,15, 约10,https://movie.douban.com/subject/25664735/
457,说出你的秘密,2010,7.2,96,侯明杰, 黄斌,张延 / 吴启华 / 杨若兮,,30,,https://movie.douban.com/subject/4802743/
458,我叫郝聪明,2013,7.2,1584,韩延, 韩延,张子萱 / 彭冠英 / 迟嘉 / 张钧涵, 剧情,25,27,https://movie.douban.com/subject/21264301/
